feature,group,mean_abs_shap,rank
A8_death_word_ratio,affective,1.096602980010424,1
S6_word_count_log,structural,0.5139883428084414,2
SO6_self_vs_other_ratio,social,0.36859303590958786,3
S1_avg_sentence_length,structural,0.33965765945246384,4
LP1_function_word_ratio,linguistic_process,0.31720965100355875,5
S4_punctuation_density,structural,0.27704574063847853,6
C7_discrepancy_word_ratio,cognitive,0.26761256722659305,7
S5_exclamation_question_ratio,structural,0.26630423472908066,8
LP4_health_body_word_ratio,linguistic_process,0.2309168530318504,9
LP2_article_ratio,linguistic_process,0.2222463570868715,10
A1_negative_emotion_ratio,affective,0.2072162771879239,11
SO3_second_person_ratio,social,0.20431191785895264,12
A4_absolutist_word_ratio,affective,0.18962265688010618,13
S2_lexical_diversity_ttr,structural,0.17846281468869174,14
SO2_first_person_plural_ratio,social,0.17001393213383564,15
S7_emotional_variability,structural,0.16615039705624704,16
C4_negation_ratio,cognitive,0.13336348427810826,17
SO5_social_reference_ratio,social,0.1317010493147724,18
SO1_first_person_singular_ratio,social,0.10130734418008137,19
S8_repetition_score,structural,0.09263476482664341,20
S3_flesch_reading_ease,structural,0.09183587256176762,21
C1_cognitive_distortion_ratio,cognitive,0.09136040169413578,22
T5_time_word_density,temporal,0.08979640358173321,23
C2_certainty_word_ratio,cognitive,0.08475231504959813,24
SO4_third_person_ratio,social,0.08075525934193596,25
T6_urgency_score,temporal,0.0749366755173942,26
C6_insight_word_ratio,cognitive,0.07418183488830032,27
A5_anger_word_ratio,affective,0.05988572218658528,28
A2_positive_emotion_ratio,affective,0.05905675151366962,29
LP5_auxiliary_verb_ratio,linguistic_process,0.05107796927431475,30
C3_tentative_word_ratio,cognitive,0.042464767955057,31
C5_causal_word_ratio,cognitive,0.04049192661673287,32
LP3_swear_word_ratio,linguistic_process,0.039497615001869005,33
A6_sadness_word_ratio,affective,0.026599984126185364,34
A3_emotion_polarity,affective,0.019137965876726153,35
A7_anxiety_word_ratio,affective,0.012789696649403824,36
T3_future_tense_ratio,temporal,0.0,37
T2_present_tense_ratio,temporal,0.0,38
T4_temporal_focus_score,temporal,0.0,39
T1_past_tense_ratio,temporal,0.0,40
